蠻	蛮 蠻
蟬	蝉 蟬
蠟	蝋 蠟
蠅	蝿 蠅
眾	衆 眾
裝	装 裝
裡	裏 裡
裴	裵 裴
襌	褝 襌
霸	覇 霸
覺	覚 覺
覽	覧 覽
觀	観 觀
觸	触 觸
譯	訳 譯
證	証 證
譽	誉 譽
說	説 說
讀	読 讀
諫	諌 諫
謠	謡 謠
譖	譛 譖
讓	譲 讓
豐	豊 豐
賤	賎 賤
贊	賛 贊
贗	贋 贗
踐	践 踐
踴	踊 踴
軀	躯 軀
轉	転 轉
輕	軽 輕
輛	輌 輛
辭	辞 辭
邊	辺 邊
邇	迩 邇
遞	逓 遞
聯	連 聯
遲	遅 遲
遥	遙 遥
遙	遥 遙
遼	遼 遼
鄉	郷 鄉
鄕	郷 鄕
醉	酔 醉
酢	醋 酢
醱	醗 醱
醬	醤 醬
釀	醸 釀
釋	釈 釋
鑪	鈩 鑪
鐸	鈬 鐸
鐵	鉄 鐵
缽	鉢 缽
鑛	鉱 鑛
錢	銭 錢
鑄	鋳 鑄
鍊	錬 鍊
錄	録 錄
鑽	鑚 鑽
關	関 關
閱	閲 閱
鬥	闘 鬥
鬪	闘 鬪
陷	陥 陷
隯	陦 隯
險	険 險
隨	随 隨
隱	隠 隱
雜	雑 雜
靈	霊 靈
靑	青 靑
靖	靖 靖
靜	静 靜
靠	靠 靠
頸	頚 頸
穎	頴 穎
賴	頼 賴
顏	顔 顏
顯	顕 顯
顚	顛 顚
驛	駅 驛
驅	駆 驅
騷	騒 騷
驗	験 驗
驒	騨 驒
髓	髄 髓
髮	髪 髮
鬱	鬱 欝
鰺	鯵 鰺
鷗	鴎 鷗
雞	鶏 雞
鶯	鶯 鴬
鹼	鹸 鹼
麥	麦 麥
麩	麩 麸
麴	麹 麴
麵	麺 麵
麪	麺 麪
黃	黄 黃
黑	黒 黑
默	黙 默
鱉	鼈 鱉
鼠	鼠 鼡
齡	齢 齡
